"Table 2a: Estimated population of settlements by broad age groups, mid-2012",,,,,,,,
,,,,,,,,
Settlement Name,Settlement Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Kirkcaldy,S20000793," 49,460 "," 8,879 "," 31,298 "," 9,283 ",,,
Kirkconnel,S20000794," 2,070 ", 362 ," 1,298 ", 410 ,,,
Kirkcudbright,S20000795," 3,390 ", 490 ," 1,918 ", 982 ,,,
Kirkfieldbank,S20000796, 940 , 130 , 608 , 202 ,,,
Kirkhill,S20000797, 670 , 119 , 433 , 118 ,,,
Kirkintilloch,S20000798," 28,210 "," 4,981 "," 17,926 "," 5,303 ",,,
Kirkliston,S20000799," 3,590 ", 771 ," 2,220 ", 599 ,,,
Kirkmuirhill and Blackwood,S20000800," 4,230 ", 791 ," 2,751 ", 688 ,,,
Kirknewton,S20000801," 1,950 ", 464 ," 1,292 ", 194 ,,,
Kirkwall,S20000802," 7,150 "," 1,188 "," 4,624 "," 1,338 ",,,
Kirriemuir,S20000803," 6,160 "," 1,029 "," 3,693 "," 1,438 ",,,
Kyle of Lochalsh,S20000804, 650 , 117 , 412 , 121 ,,,
Ladybank,S20000805," 1,530 ", 262 , 928 , 340 ,,,
Lamlash,S20000806," 1,030 ", 135 , 556 , 339 ,,,
Lanark,S20000807," 8,890 "," 1,396 "," 5,564 "," 1,930 ",,,
Langbank,S20000808, 910 , 140 , 589 , 181 ,,,
Langholm,S20000809," 2,250 ", 337 ," 1,345 ", 568 ,,,
Largs,S20000810," 11,340 "," 1,548 "," 6,288 "," 3,504 ",,,
Larkhall,S20000811," 16,480 "," 2,898 "," 10,411 "," 3,171 ",,,
Lauder,S20000812," 1,610 ", 314 ," 1,000 ", 296 ,,,
Laurencekirk,S20000813," 2,920 ", 575 ," 1,775 ", 570 ,,,
Law,S20000814," 3,250 ", 614 ," 2,156 ", 480 ,,,
Lennoxtown,S20000815," 4,060 ", 746 ," 2,723 ", 591 ,,,
Lerwick,S20000816," 7,040 "," 1,233 "," 4,559 "," 1,248 ",,,
Lesmahagow,S20000817," 4,380 ", 857 ," 2,670 ", 853 ,,,
Letham,S20000818," 1,650 ", 274 ," 1,008 ", 368 ,,,
Leuchars,S20000819," 2,860 ", 717 ," 1,803 ", 340 ,,,
Lhanbryde,S20000820," 1,970 ", 337 ," 1,284 ", 349 ,,,
Liff,S20000821, 940 , 209 , 591 , 140 ,,,
Limekilns,S20000822," 1,400 ", 231 , 760 , 409 ,,,
Linlithgow,S20000823," 13,320 "," 2,554 "," 8,523 "," 2,243 ",,,
Livingston,S20000824," 60,030 "," 12,871 "," 40,211 "," 6,948 ",,,
Loanhead,S20000825," 6,350 "," 1,063 "," 3,945 "," 1,342 ",,,
Loans,S20000826, 730 , 133 , 439 , 158 ,,,
Locharbriggs,S20000827," 5,960 "," 1,002 "," 3,731 "," 1,227 ",,,
Lochgilphead,S20000828," 2,390 ", 406 ," 1,522 ", 462 ,,,
Lochmaben,S20000829," 2,100 ", 354 ," 1,283 ", 463 ,,,
Lochwinnoch,S20000830," 2,900 ", 530 ," 1,861 ", 509 ,,,
Lockerbie,S20000831," 4,290 ", 698 ," 2,517 "," 1,075 ",,,
Logan,S20000832," 1,220 ", 222 , 766 , 232 ,,,
Longforgan,S20000833," 1,210 ", 174 , 818 , 218 ,,,
Longniddry,S20000834," 2,430 ", 347 ," 1,433 ", 650 ,,,
Longridge,S20000835, 860 , 155 , 575 , 130 ,,,
Longside,S20000836, 960 , 185 , 640 , 135 ,,,
Lossiemouth,S20000837," 7,620 "," 1,278 "," 5,189 "," 1,153 ",,,
Lower Largo and Lundin Links,S20000838," 1,930 ", 267 ," 1,088 ", 575 ,,,
Lumphanan,S20000839, 550 , 106 , 355 , 89 ,,,
Luncarty,S20000840," 1,680 ", 289 ," 1,035 ", 356 ,,,
Macduff,S20000841," 4,030 ", 740 ," 2,519 ", 771 ,,,
Macmerry,S20000842," 1,350 ", 258 , 830 , 262 ,,,
Mallaig,S20000843, 780 , 138 , 505 , 137 ,,,
Mauchline,S20000844," 4,130 ", 654 ," 2,623 ", 853 ,,,
Maud,S20000845, 870 , 160 , 561 , 149 ,,,
Maybole,S20000846," 4,750 ", 886 ," 2,995 ", 869 ,,,
Melrose,S20000847," 2,340 ", 441 ," 1,306 ", 593 ,,,
Menstrie,S20000848," 2,770 ", 501 ," 1,739 ", 530 ,,,
"Methil, Leven and Buckhaven",S20000849," 30,950 "," 5,517 "," 19,397 "," 6,036 ",,,
Methven,S20000850," 1,200 ", 219 , 712 , 269 ,,,
Millport,S20000851," 1,280 ", 144 , 708 , 428 ,,,
Milnathort,S20000852," 1,910 ", 380 ," 1,100 ", 430 ,,,
Milton and Kildary,S20000853, 660 , 130 , 412 , 118 ,,,
Milton of Campsie,S20000854," 3,950 ", 631 ," 2,555 ", 764 ,,,
Milton of Leys,S20000855," 1,740 ", 450 ," 1,148 ", 142 ,,,
Mintlaw,S20000856," 2,720 ", 462 ," 1,615 ", 643 ,,,
Moffat,S20000857," 2,550 ", 380 ," 1,469 ", 701 ,,,
Moniaive,S20000858, 500 , 86 , 283 , 131 ,,,
Montrose,S20000859," 13,260 "," 2,177 "," 8,432 "," 2,651 ",,,
Moodiesburn,S20000860," 6,900 "," 1,406 "," 4,541 ", 953 ,,,
Morningside,S20000861, 650 , 132 , 385 , 133 ,,,
Mossblown,S20000862," 2,090 ", 374 ," 1,292 ", 424 ,,,
Mosstodloch,S20000863, 990 , 160 , 599 , 231 ,,,
Motherwell and Bellshill,S20000864," 124,530 "," 23,384 "," 81,364 "," 19,782 ",,,
Muir of Ord,S20000865," 2,620 ", 504 ," 1,616 ", 500 ,,,
