"city","VVD","PvdA","PVV","SP","CDA","D66","CU","GrLinks","SGP","PvdD","50+"
"Borger-Odoorn","23.2","35.1","8.7","9.9","8.3","4.8","3.6","1.6","0.6","1.7","1.5"
"Borne","25","24.9","8","10.3","18.1","7.5","1.2","1.4","0.2","0.9","1.5"
"Borsele","23.4","18.9","9.3","8.4","11.3","4.6","3","1.5","15.9","1.6","1.3"
"Boskoop","36.2","16.4","8.7","5.3","10.8","7.3","4.9","1.8","3.9","1.8","1.7"
"Boxmeer","24.4","14.7","7","31.7","12","5.6","0.4","1.3","0.1","0.9","1.3"
"Boxtel","26","24.3","9","15.8","9","8.5","0.6","2.1","0.1","1.5","2.4"
"Breda","30.5","23.9","9.1","11.4","6.5","10.7","0.6","2.4","0.1","1.8","1.9"
"Brielle","35.6","19.7","14","9.4","6.4","6.5","1.2","1.4","0.4","2.1","2.4"
"Bronckhorst","30.4","24.8","6.9","9","14.3","7","1.8","1.6","0.8","1.4","1.3"
"Brummen","27.9","30.8","9.1","9.3","7.5","7.5","1.3","2","0.3","1.8","1.7"
"Brunssum","15.3","24.3","24.1","17","6.8","4.3","1.2","1.3","0.1","2.1","2.4"
"Bunnik","31.4","21.2","5.8","5.5","11.3","11.6","2.2","5.1","1.4","1.8","1.9"
"Bunschoten","28.3","6.5","7.9","2.5","14.9","1.7","28.5","0.3","7.5","0.6","0.8"
"Buren","35.5","20.3","12.4","5.8","6.7","6.5","2.3","1.3","5","1.8","1.8"
"Bussum","39.7","20.1","6.2","5.4","6","12.9","1.5","2.6","0.4","2.6","1.7"
"Capelle aan den IJssel","26.6","23.3","13.4","8","5.1","6.5","4","1.4","5.6","2.5","2.6"
"Castricum","34.6","23.4","6.4","7.8","8.9","9.8","0.7","3","0.1","2.3","1.8"
"Coevorden","27.4","30.8","8.7","8.5","11.9","5.1","2.2","1.4","0.6","1.2","1.4"
